name	registration_no
ANT & BEE STORIES	PV00201308
ANT BUSINESS MANAGEMENT	PV00257142
ANT CORPORATION	PV00242972
ANT LEGAL SERVICES	PV00246611
ANT MICRO INVESTMENT	PV00248424
ANT MONKEYS	PV00259767
ANT TEC	PV130348
ANT TRADING	PV65019
ANTAARA	PV00252751
ANTALYA HARDWARE LANKA	PV00248146
ANTANE I CE MILLS	PV71676
ANTARA INTERIOR SOLUTIONS	PV104184
ANTARES KANDY HOTEL	PV00293176
ANTARES SHIPPING	PV119233
ANTARES WELLNESS	PV121897
ANTE LECO METERING COMPANY	PV63270
ANTENNA INTERNATIONAL	PV118282
ANTEZA L K	PV119341
ANTHON TRADING COMPANY	PV19270
ANTHONEY`S LANKA HARDWARES	PV86623
ANTHONEY’S CONSORTIUM	PV00222998
ANTHONIO COIR	PV00241333
ANTHONY AQUA & AGRICULTURE FARMS	PV00219232
ANTHONY BUILDERS & CONTRACTORS	PV00294012
ANTHONY DECORATORS	PV106998
ANTHONY HOLDINGS	PV94521
ANTHONY KIDS SHINE COLLEGE	PV00287866
ANTHONY ORGANICS	PV00238059
ANTHONY ZIMMER INTERNATIONAL	PV121651
ANTHONY''S MANAGEMENT & ACCOUNTS SOLUTIONS	PV105329
ANTHONY'S CONSULTANCY SERVICES	PV00281962
ANTHONY'S INTERNATIONAL EXPRESS	PV00273913
ANTHONY'S MOTORS	PV00287777
ANTHONYS  INTERIORS	PV00251514
ANTHONYS FOODS	PV8108
ANTHRO INTERNATIONAL	PV00249165
ANTHRYL	PV00223725
ANTHSEB	PV131361
ANTI - COUNTERFEITING ENFORCEMENT AGENCY	PV115901
ANTI CANCER NATURAL MEDICATION	PV74219
ANTIBIOTIC PHARMACEUTICAL AND COSMETIC	PV00203551
ANTIBO	PV00281236
ANTIQA CERAMIC	PV123700
ANTLER DETERGENTS	PV14099
ANTLER FABRIC PRINTERS	PV7150
ANTLER FOUNDRY 	PV70893
ANTLER GENERAL INDUSTRIES	PV8489
ANTLER HOLDINGS	PV7699
ANTLER I T SOLUTIONS	PV93328
ANTLER INDUSTRIES	PV7130
ANTLER INK COMPANY	PV107116
ANTLER MARKETING	PV6314
ANTMODITY LANKA	PV00217169
ANTO SONS LANKA	PV90056
ANTON & SAMUEL	PV103318
ANTON & SONS FARMS	
ANTON GENERAL TRADING IMPORT & EXPORT	PV00263009
ANTON MONEY EXCHANGE	PV1461
ANTON PLASTIC INDUSTRIES	PV00208477
ANTON SEA BREEZE CAPITALS	PB00282026
ANTON WICKRAMASINGHE	PV19858
ANTONIA INTIMATES	PV78347
ANTONIO IMPORTERS	PV88746
ANTONIO INSPIRED	PV61457
ANTONIO RESTAURANTS	PV91779
ANTONIYO	PV00255794
ANTONY LIVERA GROUP	PV114502
ANTONY MARINE GLOBAL SERVICE	PV00205771
ANTONY MARINE SERVICES	PV129259
ANTRON EXPRESS	PV5246
ANTS CREATION	PV131969
ANTS INVESTMENT	PV00222538
ANTS SOLUTIONS	PV00271127
ANTUPIA PRODUCTIONS	PV00263446
ANTWORKS ENTERTAINMENT	PV00278921
ANTYRA SOLUTIONS	PV103313
