name	registration_no
RAJASHAKTHI SECURITY SERVICES	PV00271540
RAJASI	PV00294201
RAJASINGHA  ELECTRICALS	PV00215338
RAJASINGHAM CORPORATES 	PV61951
RAJASINGHE CREDIT	PV114930
RAJASINGHE INDUSTRIES	PV20836
RAJASINHA GEMS	PV00245542
RAJASOORIYA AYURVEDIC PRODUCTS	PV00264460
RAJASOORIYA ESTATE	PV00271493
RAJASTHAN	PV97973
RAJATHA ENTERPRISES AND INVESTMENTS	PV21691
RAJATHA LANKA	PV71822
RAJATHA LANKA HOLDINGS	PV00244808
RAJATHA TELEVISION NETWORK	PV88479
RAJAWAKA MINERALS	PV8883
RAJAWASALA HOLDINGS	PV109530
RAJAWATTA AGRIBUSINESS	PV00222966
RAJAWATTA TEA PRODUCTION	PV00229868
RAJAWELA M H P	PV88475
RAJAWELLA HOTELS COMPANY LIMITED	PB92
RAJCO DEVELOPMENTS	PV11954
RAJCO HOUSING	PV11670
RAJEE GEMS	PV112855
RAJEEV CONSTRUCTION	PV00282814
RAJEEVAN GARDEN GUEST HOUSE	PV00294774
RAJEK HOLDILNGS	PV77624
RAJELPA GLOBAL HOLDINGS	PV122064
RAJENDRA HARASGAMA ASSOCIATES	PV92422
RAJENDRA REGENT	PV00297758
RAJESH HOLDINGS	PV00274847
RAJESWARY AGRO & HOSPITALITY	PV00231736
RAJESWARY TRADERS	PV00264622
RAJICO AUTO	PV00261500
RAJIINA LANKA EXPORTS	PV00210251
RAJIRA INVESTMENT	PV100246
RAJITHA AWANHALA	PV00285675
RAJITHA ENTERPRISES	PV21743
RAJITHA HARDWARE AND CONSTRUCTION	PV126839
RAJJURUWATTE CEYLON TEA	PV00218279
RAJJURUWATTE TEAS	PV8864
RAJKALA ASSOCIATE	PV00287049
RAJKRUPA TEXTILES (INDIA) PRIVATE LIMITED	FC00296397
RAJKUMAR IMPORT AND EXPORT	PV00273364
RAJKUMARS ENTERPRISES	PV17896
RAJLAKS INTERNATIONAL	PV1778
RAJLAKS LIGHTINGS & APPLIANCES	PV123488
RAJMI AQUACULTURE	PV00273967
RAJMOHAN DEVELOPERS	PV00227190
RAJNEH LANKINN  (PBS 903)	PB1643
RAJRUB IMPORT & EXPORT	PV00202047
RAJSONS ENTERPRISES	PV11243
RAJU CONSTRUCTION	PV93463
RAJU MOTORS	PV00267584
