name	registration_no
ADHAM TRADING	PV00275404
ADHEEB TRADING	PV00274614
ADHI AYURVEDA WEDA PIYASA	PV00226948
ADHI LANKA ASSOCIATES	PV127683
ADHI TRADING	PV00224180
ADHI YOGAM	PV00233696
ADHIKARI TRUST MANAGEMENT	PV17042
ADHIL ENTERPRISES	PV92297
ADHIL TRADERS	
ADHISHA LANKA	PV100241
ADHITHYA ENTERPRISES	PV95881
ADHITHYA EXPRESS	PV119678
ADHITHYA TRADING & TRANSPORT	PV00217788
ADHITYA AYURVEDA 	PV00215194
ADHITYA AYURVEDA COLOMBO	PV00279138
ADHITYA FARM	PV00291020
ADHITYA SEA FARMING	
ADHNAN CONSTRUCTION	PV90372
ADHNAN EXCURSIONS	PV128238
ADHNAN INTERNATIONAL	PV00286653
ADHOUSE PRINTERS AND PUBLICATIONS	PV00262289
ADHVAN TOUR SERVICES	PV106889
ADHVIK GROUP OF COMPANIES	PV00270301
