name	registration_no
FLOAT GLASS LANKA	PV94833
FLOAT ITALINO	PV112423
FLOATING CULTURE	PV00212999
FLOEM	PV00234968
FLOKRA	PV00250528
FLOOF LIFE	PV00280155
FLOOR CARE CLEANING SERVICE	PV6615
FLOOR DESIGNERS	PV00280333
FLOOR GUARD	PV64092
FLOOR SHINE HOLDINGS	PV126908
FLOOR TECH ENGINEERING SOLUTIONS	PV00278842
FLOORING.LK HOLDINGS	PV00294045
FLOORPLANS (LONDON)	NF616
FLOORS.LK	PV00257568
FLORA AGRI EXPO	PV90109
FLORA ENTERPRISES	PV72366
FLORA HANDARBEIT	PV106340
FLORA IMPEX	PV104295
FLORA PROPERTIES	PV00248368
FLORA SALOON AND SPA	PV00273584
FLORA U S	PV00234062
FLORA WINE COMPANY	PV92697
FLOREEDA INTERNATIONAL	PV00228646
FLORENCE APPEAL TECH	PV117523
FLORENCE HEALTH CARE NURSING HOME	PV00224980
FLORENCE LANKA HOLDINGS	PV00268429
FLORENCE LOUNGE	PV00282449
FLORENCE NIGHTINGALE HEALTH CARE	PV113896
FLORENCE RESORT	PV00265252
FLORENT INTERNATIONAL	PV00226723
FLORENT LANKA	PV00299688
FLORENT TRADE	PV00216421
FLORI FARMS	PV15921
FLORIANO POLYMERS	PV00265133
FLORIANO PRODUCTS	PV00227252
FLORICULTURE PRODUCE EXPORTERS' ASSOCIATION	GA2580
FLORIDA INVESTMENT AND MICRO CREDIT	PV106000
FLORIDA REAL ESTATE	PV117958
FLORISTIC LANKA	PV00249060
FLOSSYNET	PV00273872
FLOURISH TRADING	PV00229534
FLOW - TECH ENGINEERING	PV91478
FLOW ENTERTAINMENT	PV00241036
FLOW LANKA CO-WORKING	PV00262265
FLOW SOLUTIONS INTERNATIONAL	PV00210552
FLOWER AND MERCIAN	F349
FLOWER DEVELOPMENTS	PV81499
FLOWER DREAM HOLDING	PV64974
FLOWER DRUM COLOMBO	PV00211487
FLOWER DRUM RESTURANT	PV11602
FLOWER INDUSTRIES	PV00224696
FLOWER JANN RESTAURANT	PV128193
FLOWER LOUNGE RESTURANT	PV9860
FLOWER MANTRA	PV00275237
FLOWER PLACE	PV00215772
FLOWER QUEEN	
FLOWER SENSE	PV107793
FLOWERDRUM CATERING SERVICES	PV19195
FLOWERS & CO EVENTS	PV00274602
FLOWERS BY SHE	PV87990
FLOWERS PHARMA LANKA	PV00212485
FLOWERS STORY	PV00242142
FLOWERTEA INTERNATIONAL	PV11878
FLOWGROUND	PV00279677
FLOWHANA	PV00249932
FLOWRA  FRAGRANCE	PV00225596
FLOWSURF	PV00275924
FLOXPERT HOLDINGS	PV00282825
