name	registration_no
MALTA TRADING COMPANY	PV00268181
MALTANI CEYLON CONSTRUCTION	PV83328
MALTEX GLOBAL LANKA	PV00258527
MALTHILA	PV92690
MALTRAS LANKA	PV107848
MALU LANKA INVESTMENTS	PV104273
MALUMIS’ FRIEND	PV00265609
MALVERN	PV129748
MALWANA FABRIC & CURTAINS	PV00225322
MALWANA FABRIC	
MALWANA GARMENT INDUSTRIES	PV62123
MALWANA INTERNATIONAL HOLDINGS	PV00215006
MALWANA SPRINGS	PV85078
MALWARSHA TEAS	PV69549
MALWATHTHA CONSTRUCTIONS & REAL ESTATE	PV00235246
MALWATHTHA FABRICS	PV00237186
MALWATTA AGRO FUTURE	PV00289052
MALWATTA CEYLON SPICES	PV00259957
MALWATTA CONSTRUCTION	PV122125
MALWATTAWELA ENGINEERING & CONSTRUCTION AGENCY	PV69509
MALWATTE LEISURE	PV121938
MALWATTE VALLEY PLANTATIONS	PQ111
MALWATTHA ENTERPRISES	PV106438
MALWENNA GROCERY	PV104425
MALWENNA SHIPPING COMPANY	PV81979
MALYN''S INTERNATIONAL	PV81531
MALZA GROUP	PV95115
