name	registration_no
ODALIN LANKA	PV00243171
ODARA CONSTRUCTION	PV00240073
ODARA COSMETIC	PV00252582
ODARA POWER	PV78758
ODARA REALTY HOLDINGS	PV00275752
ODAWARA LANKA	PV105157
ODD CORPORATION	NF75
ODD SYSTEMS	PV00249478
ODDAMAVADI BROILER PRODUCTION MANAGEMENT	PV114999
ODDINGTON ESCAPES	PV00250694
ODDINGTON TEA CO.	PV00258662
ODDINGTON TEA ESTATE 1870	PV00246192
ODDLY CONSULTING	PV113866
ODDLY GLOBAL	PV00208820
ODDZ LANKA STYLES	PV00254422
ODECEY	PV00287677
ODEL	PV7206PQ
ODEL APPAREL LANKA	PV00260038
ODEL APPARELS	PV11228
ODEL INFORMATION TECHNOLOGY SERVICES	PV62227
ODEL LANKA	PV7327
ODEL PROPERTIES	PV13183
ODEL PROPERTIES ONE	PV114296
ODEL RESTAURANTS	PV129956
ODELIYA TEA CEYLON	PV00232606
ODENRO DENTAL CARE	PV00288893
ODEON HOLDINGS (CEYLON )	PV18466
ODEON MOTOR ENGINEERING	PV2596
ODESTO	PV00234154
ODEYSSE OFFICIAL	PV00287116
ODF PTE LTD	PCC00274746
ODICOLT HYDRAULIC MACHINES	PV00256892
ODILIA INTERNATIONAL	PV00268816
ODILIYA HOMES & REAL ESTATE COMPANY	PV89007
ODILIYA LANDS	PV00218727
ODILIYA RESIDENCIES	PV117002
ODILIYA VIRTUAL TECHNOLOGIES	PV00222452
ODILKA REALTORS	PV00253315
ODIRIS ENGINEERING COMPANY	PV11310
ODIRIS SILVA DISTRIBUTORS	PV7741
ODIRIS SILVA HOLDINGS	PV84879
ODISI CHEM INTERNATIONAL	PV120456
ODITHA	PV68236
ODITI	PV66479
ODLOVFX	PV4529
ODO MARKETING	PV00253828
ODOC	PV114128
ODORRI INTERNATIONAL	PV117050
ODYSEY TIMES	PV00264329
ODYSSEA IMPORTS AND EXPORTS	PV00203618
ODYSSEY AEROSPACE COMPANY	PV117320
ODYSSEY APPARTMENTS	PV69943
ODYSSEY FOOT CARE	PV99271
ODYSSEY GLOBAL	PV00260504
ODYSSEY HOLDINGS	PV75590
ODYSSEY INVESTMENTS	PV97195
ODYSSEY MEDIA INNOVATIONS	PV87415
ODYSSEY PHARMACEUTICALS	PV00252579
ODYSSEY PRODUCTS	PV115680
ODYSSEY TRAVEL AND TOUR  CONSULTANT	PV00276971
ODYSSEY VENTURES	
ODYSSEY VIEW	PV110566
