name	registration_no
PIRAINILA MEDIA NETWORK	PV00288403
PIRAMAL GLASS ENERGY	PV125321
PIRAMANASINGHE AGRO PLANTATION	PV00290272
PIRAMOUNT LANKA TRADERS	PV112006
PIRATHEEDROP	PV00287546
PIRATHEEP ENTERPRISE	PV00241228
PIRAUS	PV9654
PIRAYGA IMPORT AND EXPORT COMPANY	PV16939
PIREKMA	PV5979
PIREKMA TECHNOLOGY	PV00278142
PIRELLI CONSTRUCTION COMPANY	NF19
PIRIPUN DESHAYAK	GL00256173
PIRIPUN HOLDINGS	PV67466
PIRIPUN PROPERTY HOLDINGS	PV129101
PIRIUS & PIRIUS	PV65402
PIRIYA PEARL	PV00222970
