name	registration_no
YUN JIE TRAVEL COMPANY	PV00200849
YUN NAN RICE NOODLES	PV00281838
YUN S COMPUTER	PV00201473
YUN TANG INTERNATIONAL ENGINEERING	PV130713
YUN XIAO TEXTILE LANKA	PV129980
YUNA CONSULTANCY	PV00266149
YUNARA CONSTRUCTION & SUPPLIERS	PV00293977
YUNARA CONSTRUCTION	PV00271224
YUNARA PRODUCTS	PV00246366
YUNDA EXPRESS	PV00209324
YUNGA TRANS	PV00236831
YUNI MOTORS	PV11514
YUNI PRINTERS	PV22290
YUNICA CONSTRUCTION	PV00214149
YUNIK LANKA MOTOR TRADERS	PV00243878
YUNIKA AMILA	PV61918
YUNIKON INTERNATIONAL	PV18341
YUNKAI HOLDINGS	PV120105
YUNLY SOFTWARE SOLUTIONS	PV00213416
YUNNAN CONSTRUCTIONENGINEERING GROUP CO.,	FC1281
YUNNAN PROVINCE BUSINESS REPRESENTATIVE OFFICE	GA2453
YUNTIAN TOURISM	PV131305
YUNTONG BRIDGE CONSTRUCTION ENGINEERING COMPANY	PV00249713
