name	registration_no
LEN	PV86578
LENALUX CEYLON HOLDINGS	PV00223123
LENALUX LANKA IMPORT-EXPORT	PV00223115
LENAM CAPITAL	PV116494
LENARD REFRIGERATION SERVICES	PV00284686
LENCAS PARADISE	PV106444
LENCO ENTERPRISES	PV3004
LEND A HAND LANKA	GA00246170
LENDA ADVERTISING	PV64339
LENDAX LANKA	PV00214924
LENDCORP	PV00228558
LENDIMORE	PV00263862
LENDNOW	
LENGARA LEISURE	PV00234936
LENISHA	PV00258182
LENKO TECHNOLOGIES	PV00233679
LENLEY DECORATORS	PV19440
LENNOCH HOLDINGS	PV71909
LENNY'S	PV00256319
LENOR HOLDINGS	PV97595
LENORE INVESTMENTS	PV113018
LENOX CAPITAL	PV72820
LENS LEGENDS	PV00285668
LENSKI INTERNATIONAL LANKA HOLDINGS	PV00236427
LENSMATE	PV00264009
LENSQUEEN	PV00200550
LENSTECH DIAGNOSTICS	PV85747
LENSTECH INNOVATIONS	PV14231
LENUS HOLDINGS	PV00236598
LENUSOFT	PV00204360
LENZ EFFECT	PV95281
LENZING LANKA GROUP	PV94899
LENZSKI INTERNATIONAL	NF116
LENZWERK LANKA	PV122757
