name	registration_no
LEMA FORCE SECURITY SOLUTIONS	PV00200052
LEMACO LANKA	PV00220323
LEMACO TRADING & INVESTMENTS	PV00256646
LEMAS  MANAGEMENT	PV00200429
LEMASTOTA HYDRO POWER	PV13199
LEMAX HOLDINGS	PV00267887
LEMAX LANKA HOLDINGS	PV113682
LEMCO ELECTRIC	PV96149
LEMDA	PV00242958
LEMIK ENGINEERING	PV00256059
LEMINAL	PV117620
LEMMINKAINEN CONSTRUCTION	NF265
LEMON	PV60402
LEMON CMB HOLDINGS	PV00292472
LEMON DROP CAFE	PV125286
LEMON GROVE	PV127667
LEMON HOLDINGS	PV00204312
LEMON INTEGRATED	PV101362
LEMON STATIONERY	PV00272348
LEMON TEA INTERNATIONAL	PV116599
LEMON TREE CONCEPTS	PV92167
LEMON TREE FOOD & BEVERAGES	PV00202404
LEMON TREE HOSPITALITY	PV79437
LEMONA AGRO	PV83947
LEMONGEN	PV114224
LEMONGRASS	PV71612
LEMONO TECHNOLOGIES	PV00224744
LEMORAL MARKETING	PV00209334
LEMRICH	PV00269876
LEMRICH INVESTMENTS	PV00274652
LEMUEL PROMOTIONS	PV80489
LEMUR TRADING	PV87541
LEMURIA GEMS	PV00222597
LEMURIA GLOBAL	PV00226190
