name	registration_no
TECHNIUM	PV90406
TECHNIX TRADING	PV75031
TECHNO	PV14880
TECHNO ACTION	GL27
TECHNO BIZ	PV64544
TECHNO COIR EXPORTS LANKA	PV00205373
TECHNO CONSTRUCTION DEVELOPMENT	PV80262
TECHNO COOL ENGINEERING	PV72916
TECHNO DESIGN LANKA	PV00238048
TECHNO DESIGN MANUFACTURING	PV00205043
TECHNO DYNAMICS 360	PV00281540
TECHNO E SOLUTIONS	PV77822
TECHNO ENGINEERING AIR SOLUTIONS	PV00202421
TECHNO ENGINEERING AND TRADING	PV00242140
TECHNO EXPERT CONSULTANTS	PV00244345
TECHNO FARM	PV00280124
TECHNO FIELD MANAGED	PV75933
TECHNO FIRST	PV75340
TECHNO FORMS	PV5699
TECHNO IMPEX LANKA	PV68229
TECHNO INDUSTRIAL SUPPORT CENTRE	PV70937
TECHNO INSTRUMENT	PV4659
TECHNO LABS	PV00255923
TECHNO LANKA INNOVATIONS	PV00234132
TECHNO LANKA KANDY	PV100245
TECHNO LEISURE	PV107405
TECHNO MANAGEMENT COSULTANTS	PV16699
TECHNO MINDERS	PV73339
TECHNO MOTORS	
TECHNO NETWORKS	PV74324
TECHNO OPTICS LANKA	PV8616
TECHNO PRINT INK	PV00210715
TECHNO PRINTPACK	PV124958
TECHNO PRODUCTS LANKA	PV75877
TECHNO SAGACITY	PV00253304
TECHNO SERVICES LANKA	PV00263195
TECHNO SMART LANKA	PV00259301
TECHNO SOLUTIONS	PV3607
TECHNO SOUND LANKA	PV00277534
TECHNO STEEL LANKA	PV125673
TECHNO TRADING INTERNATIONAL	PV109965
TECHNO TRADING LANKA	PV00204631
TECHNO VISION OPTICIANS	PV00278094
TECHNO WAREHOUSE	PV9183
TECHNO-MAART	PV8448
TECHNOBASE	PV00271076
TECHNOBIZ-LANKA	PV00228853
TECHNOBRAIN INTERNATIONAL	PV124574
TECHNOCARE INTELLIGENCE	
TECHNOCARE INTELLIGENT	PV126847
TECHNOCHEMIE LANKA	PV84205
TECHNOCRATS	PV00265630
TECHNODEA INFORMATION TECHNOLOGIES	PV00262513
TECHNODORA	PV00241830
TECHNODROME	PV00253871
TECHNOFIBRE MARINE SERVICES	PV11174
TECHNOFIN	PV00267489
TECHNOGLOBAL	PV00279614
TECHNOGRAPHY	PV00259988
TECHNOGUIDE	PV00229733
TECHNOHUB	PV101076
TECHNOKAIN SOLUTIONS	PV00223734
TECHNOKING SOLUTIONS	PV00229370
TECHNOLAB SOLUTIONS	PV91955
TECHNOLABS ENGINEERING SOLUTIONS	PV00203500
TECHNOLABS LANKA	PV112787
TECHNOLANKA ANTIVIRUS	PV102341
TECHNOLI INSTITUTE OF DIGITAL BUSINESS	PV00272192
TECHNOLINK ENGINEERING SERVICES	PV00243839
TECHNOLOGICAL ENERGY SAVING SOLUTION	PV110998
TECHNOLOGY AND COMPUTER TRAINING INSTITUTE	PV11998
TECHNOLOGY CONSULTING SERVICES	PV1910
TECHNOLOGY DEVELOPMENT AND TRAINING	GL4
TECHNOLOGY EDUCATIONAL AND ABILITY MANAGEMENT	GL2093
TECHNOLOGY EXCHANGE WORLD	PV62275
TECHNOLOGY FRANCHISE SOLUTIONS	PV83352
TECHNOLOGY INNOVATION AND ENGINEERING CONSULTANTS	PV123935
TECHNOLOGY MANAGEMENT SOLUTIONS	PV63471
TECHNOLOGY NETWORK AUSTRALIA LANKA	PV00210725
TECHNOLOGY PROVIDERS	PV5025
TECHNOLOGY SOLUTION SYSTEMS	PV00204202
TECHNOLOGY WORLD	PV00266190
TECHNOMAGIC	PV00242082
TECHNOMARINE NAVIGATION	PV00218017
TECHNOMART CORPORATION	PV00212497
TECHNOMAX HOLDINGS	PV00203846
TECHNOMEDICS FLEXICARE INVESTMENT LANKA	PV132055
TECHNOMEDICS INNOVATIONS	PV123578
TECHNOMEDICS INTERNATIONAL	PV17567
TECHNOPEDIA	PV00242365
TECHNOPIT	PV00225727
TECHNOPLUS AUTOMATION	PV110208
TECHNOPLUS ENGINEERING SOLUTIONS	PV105044
TECHNOPOWER	PV68214
TECHNOSOFT	PV00267019
TECHNOSOL	PV20716
TECHNOSYS DIGITAL SOLUTIONS	PV110282
TECHNOSYS IES	PV00278582
TECHNOSYS LABS	PV00242493
TECHNOTHERM	PV114087
TECHNOTRANS	PV69353
TECHNOURA	PV70372
TECHNOVA IMAGING SYSTEMS	NF565
TECHNOVALLEY	PV72301
TECHNOVATE ENTERPRISES	PV00238818
TECHNOVATES 	PV121486
TECHNOVIBES	PV00274207
TECHNOVIQ	PV00231005
TECHNOZONE	
TECHO PORT	PV00219619
TECHOLICS	PV00256470
TECHORIN SOLUTIONS	PV103634
TECHOUSE	PV00254076
TECHOUTSOURCE LANKA	PV00201194
TECHOZARK	
TECHPULZE SOLUTIONS	PV00290949
TECHQUEST	PV00208519
TECHRUHANA	PV00250007
TECHSAS GLOBAL LOGISTICS	PV88866
TECHSAS INTERNATIONAL	PV80802
TECHSCOPE LANKA	PV00282583
TECHSCROLLL	PV00243500
TECHSEED LANKA	PV00216836
TECHSFINITY	PV00222615
TECHSHEQ	PV00288380
TECHSKY NET	PV00215873
TECHSMART	PV117396
TECHSO	
TECHSPARK	PV00262141
TECHSPARX	PV00256565
TECHSPASE	PV00217172
TECHSPHERE GLOBAL	PV00258545
TECHSTAR PACKGING	PV4285
TECHSTRAST	PV00236881
TECHSTRIVE	PV00266515
TECHSURGE INNOVATIONS	PV101543
TECHTACK  AUTO LINE	PV00260216
TECHTEAM ASSOCIATES	PV70217
TECHTINKER	PV00219289
TECHTRADE ENGINEERING SOLUTIONS	PV00231181
TECHTRAX	PV00203455
TECHTRIC SOLUTIONS	PV00207322
TECHTRION LANKA	PV109302
TECHTRIX	PV00225274
TECHTRONIC SYSTEMS	PV90964
TECHVENSYS	PV105006
TECHWATERS REAL ESTATE	PV00201133
TECHWELL CONSTRUCTIONS	PV101943
TECHWIN LANKA	PV83686
TECHWING ENGINEERS	PV67071
TECHWIRE ENGINEERING	PV00238514
TECHWIRE LANKA	PV105133
TECHWISE LANKA	PV129601
TECHWIZ	
TECHWOOD	PV1206
TECHWOOD HOLDINGS	PV96186
TECHYFISH	PV00212562
TECHYON	PV00264867
TECHZA LANKA	PV00232412
TECHZA MED	PV00257133
TECHZHONE TECHNOLOGY	PV125664
TECHZONE	PV72271
TECHZONE SOLUTIONS LANKA	PV00200285
TECK MOTOR SUPPLY	PV4791
TECK-EXPLORE INTERNATIONAL	PV72389
TECKLEO SOLUTIONS	PV127849
TECKPRO INVESTMENT	PB5417
TECKRU LANKA	PV123795
TECKWIN CEMENTS	PV112824
TECKWIN CONSTRUCTION	PV00230670
TECKWIN ENERGY	PV112825
TECKWIN FARM	PV112826
TECLAC DECORATORS 	PV127713
TECLAN INTERNATIONAL	PV113157
TECLEVER SOLUTIONS	PV96181
TECMAN	PV00207903
TECMODE	PV83356
TECNOCOLOR PRINT	PV00233563
TECNOLOGA	PV00280395
TECNOVA 14 SYSTEMS	PV89994
TECO LAND	PV99786
TECO LANKA	PV20892
TECO TRADING COMPANY	PV21024
TECOLA	PV00265583
TECORA BUILDERS	PV00272456
TECORA CONSTRUCTION	PV00215933
TECPACKING LANKA	PV119184
TECPRO LANKA	PV00244464
TECQI INDUSTRIAL	PB00235444
TECRAV SOLUTIONS	PV00226455
TECSERV ENGINEERS	PV72917
TECSHANAL ENGINEERING	PV00232804
TECSTELA	PV00237181
TECTERA	PV00225386
TECTRIBES	PV130153
TECUMO	PV00252028
TECWALK	PV00260077
TECWOOD COLOMBO	PV102307
TECWORKS	PV00224813
TECXA	PV00230408
TECXAL SYSTEMS	PV00247867
TECXEL	PV125983
TECXPERT CONSULTING	
TECXPERT MICRO SYSTEMS	PV78009
TECXYGEN	PV102523
TECZE ELECTRONICS	PV130266
