name	registration_no
BAM ASSOCIATES	PV9373
BAM EXPORTS	PV9089
BAM FOODS	PV00253498
BAM GREEN	PV76596
BAM GREEN INTERNATIONAL	PV00236776
BAM HEALTHCARE	PV00232770
BAM HOLDINGS	PB893
BAM HOLIDAY HOMES	PV69640
BAM INTIMATES	PV64207
BAM KNITTING	PV12762
BAM PLASTIC	PV62823
BAMA	NF470
BAMA JEWELLERS	PV00291458
BAMAH INDUSTRIAL SOLUTIONS	PV00225020
BAMBA BEACH RESORT	PV00223429
BAMBA CHAIWALA FOOD	PV00271894
BAMBA ENTERPRISE	PV00267037
BAMBALAPITIYA FLATS WELFARE ASSOCIATION	GA00222841
BAMBARA ELLA AGRO RESORT & CAMPING	PV00276800
BAMBARA MEDIA CORPORATION	PV118625
BAMBARADENIYA ASSOCIATES	PV19717
BAMBARAWATHTHA HERBALS	PV00268875
BAMBINO LANKA	PV65042
BAMBOGREN HOLDINGS	PV108618
BAMBOLI LEISURE	PV127577
BAMBOO BASICS	PV00268266
BAMBOO CURTAINS AND BLINDS	PV65090
BAMBOO DIGIT	PV00256052
BAMBOO GARDEN RESTAURANT	PV7530
BAMBOO PALACE	PV77330
BAMBOO SRI	GL2235
BAMBRIDGE INTERNATIONAL NURSERY AND EDUCATION INSTITUTE	PV19887
BAMBUILDING	PV00273854
BAMBY ACTIVEWEAR	PV88023
BAMORA NATURALS	PV00237414
BAMUNU ARACHCHI FOUNDAITON	GA743
BAMUNUARACHCI	PV94789
BAMUNUSINGHE AND COMPANY	PV14817
