name	registration_no
ELE SPROUT	PV00303217
ELE TRAVELS AND TOURS	PV98018
ELE-TEC ENGINEERING	PV8577
ELEARNING.LK 	PV125220
ELEC LABS	PV00309720
ELECCITY	PV00270247
ELECO CONSTRUCTION	PV130748
ELECOM ENGINEERING	PV7681
ELECSIS POWER	PV81956
ELECSIS SOLAR POWER	PV95130
ELECSUS	PV00314767
ELECTOR MULTI TRADING	PV77999
ELECTOTEL SECURITY SOLUIONS	PV112476
ELECTRA ENGINEERING	PV102901
ELECTRA INTERNATIONAL	PV130483
ELECTRA TECH ENGINEERING	
ELECTRALOGIC TRAINING CENTRE	PV00309063
ELECTRANZ LANKA ENGINEERING	PV00306175
ELECTRIC AUTOMOBILE ASSOCIATION	GA00240816
ELECTRIC ONE LANKA	PV00268313
ELECTRIC VEHICLE CLUB SRI LANKA	GA00209420
ELECTRIC WORLD HOLDINGS	PV00212276
ELECTRICAL CIRCUITS AND SYSTEM ENGINEERING	PV00208101
ELECTRICAL TECHNOLOGY	PV110828
ELECTRILY	PV00248407
ELECTRO (OVERSEAS TRADING)	PV21098
ELECTRO - CITY.LK	PV00233920
ELECTRO AUTOMOTIVIVES	PV102358
ELECTRO CHEVAL LANKA	PV88842
ELECTRO CITY ASIA	PV96270
ELECTRO CONTROL TRADING	PV80154
ELECTRO DIGITAL.LK	PV00271041
ELECTRO HOLIDAY RESORTS  (PVS 6506PBS)	PB1720
ELECTRO LABS TECHNOLOGIES	PV00226874
ELECTRO MASTER INTERNATIONAL	PV105099
ELECTRO MAX SOLUTIONS	PV00218899
ELECTRO MECHANICAL SYSTEMS	PV121234
ELECTRO MEDICALS LABORATORY	PV15187
ELECTRO METAL PRESSINGS	PV9583
ELECTRO METER	PV132065
ELECTRO METER INDO LANKA	PV00207574
ELECTRO MOBILES	PV63566
ELECTRO MOTIONS LANKA	PV75860
ELECTRO MUSIC FEST	PV105571
ELECTRO MUSIC RECORDS	PV00258824
ELECTRO NEST	PV88419
ELECTRO NET ENGINEERING SERVICES	PV131612
ELECTRO PLASTICS	PV17194
ELECTRO POWER SWITCH BOARDS	PV497
ELECTRO POWER SYSTEMS	PV21260
ELECTRO PRO SOLUTIONS	PV00308781
ELECTRO SERV	PV8515
ELECTRO SYNERGY	PV00308937
ELECTRO TECH LANKA	PV00293243
ELECTRO ZONE	PV00232423
ELECTRO-POWER ENGINEEING	PV502
ELECTROBEAM	PV00218390
ELECTROCELL SOLUTIONS	PV00299626
ELECTRODEALS	PV00210746
ELECTROFLEX ENGINEERING	PV00307735
ELECTROLEAF	PV00233656
ELECTROLIGENCE	PV00242121
ELECTROLINE EQUIP	PV125900
ELECTROMAS INTERNATIONAL	PV74732
ELECTROMATIC ENGINEERING ENTERPRISES	PV68530
ELECTROMECH ENGINEERING SERVICES	PV17270
ELECTROMECH SOLUTIONS	PV00204062
ELECTRONIC ARCADE	PV00258771
ELECTRONIC COMMERCE DISTRIBUTION	PV00286455
ELECTRONIC TEACHING INSTITUTE FOR SPOKEN ENGLISH	PV00229173
ELECTRONICS DEPOT	PV79423
ELECTRONICS TRAINING LABORATORY MANUFACTURING	PV16097
