name	registration_no
ASEA BROWN BOVERI	NF353
ASEAN FINE ART ENTERTAINMENT	PV15272
ASEATICA TOURS AND SERVICES	PV20819
ASEE HOLDINGS	PV00224056
ASEKI CORPORATION	PV62583
ASEKI INSURANCE BROKERS	PV73170
ASEKLAN MANAGEMENT SERVICES	PV123677
ASEL CEYLON	PV00224459
ASEL EXPRESS	PV00279184
ASEL GARMENTS	PV3594
ASEL LANKA MICRO	PV67222
ASEL TRIMS	PV95376
ASELA AND PUBUDU HOLDINGS	PV00256427
ASELA CONSTRUCTIONS HOME DESIGNING	PV00250872
ASELA ENGINEERING AND ENTERPRISES	PV15712
ASELA HOLDINGS	PV00246651
ASELA INVESTMENTS LANKA	PV120348
ASELARTS HIVE	PV11379
ASELCO	PV17989
ASELMA CLOTHING	PV00222383
ASELRO HOLDING	PV9823
ASELRO LANKA EXPORTS	PV63772
ASELRO PROPERTY DEVELOPERS	PV117049
ASELTA AUTO KINVE	PV62678
ASEMA ENGINEERS	PV00299406
ASEND CONSULTANTS	PV00213222
ASENKA ENTERPRISES	PV68775
ASENKUDUS ASSOCIATES	PV14290
ASENRO COCONUT PRODUCTS	PV00208139
ASENSHAL	PV79461
ASENTRO	PV84150
ASER LANKA ENGINEERING	PV97418
ASERA STEEL	PV97308
ASESKA CORPORATE CONSULTANTS	PV131360
ASESTA CONSULATING	PV98977
ASET AUTOMOTIVE AND SOLAR ENVIRONMENTAL TECHNOLOGY	PV00200722
ASET PORPERTY DEVELOPERS	PV68786
ASETHA ENTERPRISE	PV79386
ASETLAK INVESTMENT	PV122761
