name	registration_no
ASCD SCIFO	PV00280409
ASCELA	PV110333
ASCELA H M C	PV00227617
ASCEND	PV00286394
ASCEND DIGITAL	PV00234727
ASCEND GLOBAL	PV00268720
ASCEND GROUP	PV119404
ASCEND HOLDINGS	PV130375
ASCEND LANKA	PV00223731
ASCEND OVERSEAS EDUCATION CONSULTANTS	PV00221363
ASCEND SOLUTIONS	PV00248656
ASCEND WAY HITECH ACADEMY	PV00278509
ASCENDMO INTERNATIONAL	PV00284429
ASCENDTRUE	PV124986
ASCENDTRUE TECHNOLOGIES	PV00214270
ASCENSION COLOMBO	PV00264254
ASCENSION HOLDINGS	PV00255167
ASCENSION I T	PV89968
ASCENSION INFORMATION TECHNOLOGIES	PV00283777
ASCENSION TECHNOLOGIES LANKA	PV00225449
ASCENSION TRAVELS	PV00207732
ASCENSOR PARTNERS	PV61227
ASCENT - X	PV66825
ASCENT BUSINESS SOLUTIONS	
ASCENT CONSTRUCTION	PV117725
ASCENT CORP	PV00222437
ASCENT DYNAMICS	PV88687
ASCENT ENGINEERING	PV124627
ASCENT LANKA ENGINEERING	PV00223691
ASCENT LOGISTICS	PV00252164
ASCENT REAL ESTATE	PV00223520
ASCENT TOURS	PV129052
ASCENT TRADE SOLUTIONS	PV00225483
ASCENT TRADING	PV00254306
ASCENT WORLDWIDE HOLDINGS	PV128061
ASCENTIA INTERNATIONAL CONSULTANTS	PV00231685
ASCENTIC	PV119306
ASCENTINE GLOBAL	PV117935
ASCENTRA OCEANIC CORPORATION	PV114862
ASCENTRA TECHNOLOGIES	PV00243864
ASCENTRIA CONSULTANCY	PV00259483
ASCENTSPIRE	PV00262994
ASCENTTEQ	PV00229625
ASCENTURE SYSTEMS	PB5122
ASCII	PV00263612
ASCLIP PHARMA	PV00288108
ASCO EUROPE LANKA	PV00221466
ASCO FLAVOURS AND FRAGRANCES	PV8431
ASCOL PARTNERSHIP	PV97711
ASCON TRADING	PV00235624
ASCONIA HOLDINGS	PV109164
ASCOT TEAS	PV127179
