name	registration_no
SULAIHA BRIDALS	PV00236557
SULAIMAN INTERNATIONAL	PV00287029
SULAIMAN TRADERS	PV00278576
SULAKSHA INVESTMENT	PV128611
SULAKSHI SPICE	PV00273409
SULALITHA INVESTMENTS	PV124087
SULANGA ENERGY	PB3584
SULANKA	PV106372
SULEES	
SULEMAN ARAB TIMBER STORES	PV12007
SULPHER MOTORS COMPANY	PV11937
SULTAN HOLDINGS	PV90205
SULTAN INSULATIONS	PV119408
SULTAN'S FOLLY	PV6907
SULTANBAWA TRUST	PV00252536
SULTANS LEATHER TRADING COMPANY	PV20000
SULTANS MONEY EXCHANGE	PV6002
SULTHAN CATERS	PV00265547
