name	registration_no
BUMBUMS	PV00209398
BUMBLE BEE TECHNOLOGY	PV126645
BUMBLEBEE SOCIAL CAPITAL	PV105166
BUMBLEB	PV00225115
BUMIKRA HOLDINGS	PV00239558
BUMBLEBEE AGRO	PV00241289
BUMI GEO ENGINEERING LANKA	PV113238
