name	registration_no
BUBBLE  MANIA	PV00267652
BUBBLE BEE	
BUBBLE BRAIN CORNER	PV00274332
BUBBLE EVENTS	PV67742
BUBBLE JAY	PV00319072
BUBBLE MANIA KIRIBATHGODA	
BUBBLE MANIA MALABE	
BUBBLE ME	PV111712
BUBBLE PLANET	PV00301185
BUBBLE TEA	PV00314183
BUBBLE WORLD	PV00239961
BUBBLEGUM MEDIA	PV00314207
BUBBLELEMENT	PV114159
BUBBLES LAUNDRY SERVICES	PV00226671
BUBBLES PROPERTY HOLDINGS	PV128160
BUBBLESODA	
BUBBLIX INTERNATIONAL	PV00309463
BUBBLUSCCIOUS	PV117842
BUBBLUSCIOUS MINI	PV126822
BUBLAND	PV80609
BUBULA PLANTATIONS	PV108739
