name	registration_no
ONLANKA TRAVELS AND TOURS	PV116135
ONLEC INTERNATIONAL	PV00218686
ONLINE AKURA	PV00242274
ONLINE ASSOCIATES	PV115238
ONLINE BEAUTY BAR	PV00241247
ONLINE BRITISH ACADEMY	PV00259318
ONLINE BUSINESS ADVISOR	PV131547
ONLINE BUSINESS CONSULTANT	PV00238459
ONLINE CABS	PV66868
ONLINE CAMPUS	PV00226227
ONLINE CLEANING & CARING	PV00227081
ONLINE COMMERCE	PV118211
ONLINE CORPORATE ADVISOR	PV00245339
ONLINE EDUCATION	PV111542
ONLINE ENTREPRENEURS CLUB	GA00261121
ONLINE FASHION HOME	PV00259210
ONLINE HOLDING	PV00272335
ONLINE HUB IPHONE STORE	
ONLINE IRAAH'S	PV00247537
ONLINE KART	PV00239419
ONLINE MARKETING COMPANY	PV00206749
ONLINE MARKETING REASONABLE	PV00269555
ONLINE MART EXPRESS	PV00246406
ONLINE OUTLET STORE	PV00233028
ONLINE PASALA	PV00232201
ONLINE POLY PACKAGING	PV106760
ONLINE SHOP EXPRESS	PV116892
ONLINE SHOPPING MALLS	PV129801
ONLINE SOLUTIONS & SERVICES	PV61124
ONLINE TAX ADVISOR	PV124651
ONLINE TAX AND ACCOUNTING SERVICES	PV00246071
ONLINE TECH LANKA	PV00240541
ONLINE TRACKING SOLUTION	PV00272829
ONLINE TYRES LANKA	PV00290220
ONLINE VISA ADVISOR	PV00289939
ONLINEKADE EXPRESS LOCAL	PV00225033
ONLINEKADE L K	PV00201750
ONLY & COMPANY CREATIVE	PV108257
ONLY FROM CHINA	PV117328
ONLY SUPER	PV00268054
ONLY YA SAUDI	PV93450
ONLY YOU	PV123766
