name	registration_no
PELA CEYLON TEAS	PV103293
PELA HOLIDAYS	PV99372
PELAGIA ENTERPRISES	PV12688
PELAGIKOS	PV104541
PELAJIUS	PV00258919
PELANDEGAMA HYDRO POWER	PV96728
PELAWATTE ENTERPRISES	PV96012
PELCO DEVELOPMENT CONSULTANTS	PV68022
PELE CLOTHING	PV00279325
PELEMIX LANKA	PV15242
PELICAN BEACH	PV00217656
PELICAN COMMODITIES	PV130204
PELICAN CUBE	PV00212449
PELICAN CUBE ENTERTAINMENT	
PELICAN IMPEX	PV124112
PELICAN INVESTMENTS	
PELICAN LANKA	PV00253975
PELICAN PHARMA	PV72552
PELICAN PRINTERS	PV2492
PELICAN PRO-GAS	PV61215
PELICAN ROCKS ECO-RETREAT	PV14804
PELICAN TRADING	PV60716
PELIKAS	PV00239448
PELIYAGODA WAREHOUSE COMPLEX COMPANY	PB401
PELLUCID TECH SOLUTIONS	PV76790
PELMA ASIA CONSTRUCTION	PV10005
PELMADULLA NARANGODA PLANTATIONS	PV14787
PELMAR ELECTRICAL	PV15558
PELORUS MARINE SERVICES	PV90777
PELTHON	PV00273455
PELWATTA DAIRY INDUSTRIES	PV16876PB
PELWATTA RICE	PV00290079
PELWATTE COCONUT INDUSTRIES	PV00284431
PELWATTE HOLDINGS	PV00222885
PELWATTE SUGAR	PQ30
PELWATTE SUGAR DISTILLERIES	PV10221
PELWEHERA VILLAGE RESORT	PV7348
