name	registration_no
FUSCUM SOIL ENHANCER	PV00270823
FUSE COLOMBO HOLDINGS	PV94352
FUSE DIGITAL	PV00253238
FUSION  WORTH LANKA	PV00290920
FUSION 4 INTERNATIONAL	PV128868
FUSION BAKERS	PV83990
FUSION CONSULTING GROUP	PV00206228
FUSION DESIGN INTERNATIONAL	PV107853
FUSION DIGITAL PRINTERS	PV00206072
FUSION ENTERPRISES	PV00295707
FUSION FLAVOURS	PV95232
FUSION FREIGHT & LOGISTICS	PV00214532
FUSION HEALTHCARE	PV114454
FUSION HOLDINGS	PV91753
FUSION INNOVATIONS	
FUSION LAB	PV00213986
FUSION LANKA PROJECT MANAGEMENT	PV89527
FUSION LEISURE	PV00266011
FUSION LINE	PV00275345
FUSION MANAGEMENT SERVICES	PV127264
FUSION MEDIA AND ENETRTAINMENT	PV106817
FUSION PROPERTY MANAGEMENT	PV00273738
FUSION STREET	PV118543
FUSION SYSCOM	PV63203
FUSION TECH	PV00245552
FUSION TECH SOLUTIONS	PV00256200
FUSION VENTURE	PV00237179
FUSION WAVE	PV00284111
FUSION X HOLDINGS	PV00297242
FUSIS LANKA	PV15573
FUSORA FOODS	PV00236887
FUSTER & VAN GORP INVESTMENT HOLDINGS	PV00210180
