name	registration_no
PADDLARS'' TRAILS	PV104219
PADDY FIELD GARDEN	PV82364
PADDY HOLDINGS	PV89450
PADDY LANDS	PV84682
PADDY VIEW GARDEN RESORT	PV00275559
PADDY VIEW RESIDENCIES	PV110135
PADDY VILLAGE	PV82425
PADDY'S PARADISE	PV00225371
PADDYWAY SERVICES	PV122310
PADHA RELAXING STUDIO	PV00225256
PADHAMA	PV00249020
PADMA HOLDINGS	PV00273529
PADMANO	PV00247407
PADMARAJA	PV00245433
PADMASIRI TRADERS	PV77794
PADMINA PUBLICATIONS	PV70729
PADMINI BRIDAL AND BEAUTY SALLON	PV10606
PADOR	PV69327
PADOSI WALA TRAVEL AND HOLIDAYS	PV00256451
PADPARADSCHA BEACH CLUB & RESTAURANT	
PADPARADSCHA.LK	PV00262277
PADPARAJA HOLDING VILL	PV00205746
PADPARAJA VILLA	PV131371
PADUKKA SANSA SHARE HOLDERS TRUST COMPANY	PB5029
PADUWASNUWARA (HETTIPOLA) SANASA SHARE HOLDERS TRUST COMPANY	PB4955
