name	registration_no
PAP EGSS SOLAR	PV00286330
PAP MHPL SOLAR	PV00286329
PAP PTS SOLAR	PV00286332
PAP SOLAR ONE	PV128774
PAPA DIGITAL	PV00335641
PAPA FILMS	PV00324335
PAPA SENS	PV00314724
PAPAERCOM SERVICES	PV60251
PAPAI	PV00228015
PAPAYA  INTERIORS AND DESIGN	PV107783
PAPAYA BOOKS	PV00278226
PAPAYA FRIENDS	PV00200899
PAPAYA TREE HOSTEL	PV00347101
PAPAYA VENTURES	PV00315887
PAPAYA VIBES	PV00339465
PAPA’S	PV00284009
PAPER AND I	PV00264415
PAPER BAG	PV121948
PAPER BAG SHOP	PV121949
PAPER BLISS.LK	PV00293173
PAPER CARE	PV82318
PAPER CART	PV00311637
PAPER CONTAINERS	PV10179
PAPER CONVERTERS LANKA	PV120912
PAPER ELEPHANT	PV00272914
PAPER HOLD	PV00358237
PAPER LINK	PV00249077
PAPER MAN	PV19782
PAPER MAX	PV00265388
PAPER MILLS LANKA	PV126118
PAPER MILLS UNITED LANKA	PV00208109
PAPER MOON	PV92919
PAPER MOON KUDILS	PV00358023
PAPER NET VENTURES	PV00214129
PAPER PLANE ACEDEMIC VENTURES	PV00349286
PAPER PRINTS.LK	PV00227694
PAPER RECYCLE INTERNATIONAL	PV00322205
PAPER STORE	PV00301821
PAPER TO PIXELS	PV00354728
PAPER TRAY	PV00282294
PAPER WAY	
PAPER WORK SOLUTIONS	PV00226884
PAPER WORLD HOLDINGS	PV76822
PAPER WORLD IMPORT	PV108460
PAPER WORLD INTERNATIONAL	PV68663
PAPER WORLD STATIONERY	PV00211895
PAPER WORLD TRADING	PV00267635
PAPERCOM TRADERS	PV132043
PAPERDREAMS CREATIONS	PV00320837
PAPERFORT	PV00337998
PAPERKO	PV130649
PAPERLINE OFFICE EQUIPMENT	PV00269772
PAPERLINE SUPER	PV00269613
PAPERLINE SUPPLIERS	PV69934
PAPERLINE TRADING	PV603
PAPERMART	PV00212303
PAPERMAX LANKA	PV00304541
PAPERROCKETS	PV00205247
PAPERROSE GALLERY	PV00333653
PAPERTIP	PV00262194
PAPERWORKS EDITORIAL	PV00233253
PAPIERMICH PACKAGING	PV00361438
PAPILLION BAKERS & CATERERS	PV94300
PAPILLON	PV65082
PAPILLON DU THE	PV101301
PAPILLON FASHIONS	PV99105
PAPOI	
PAPOOSE INTERNATIONAL	PV9491
PAPOU''S RESTAURANT	PV113151
PAPOU'S RESTAURANT	PV113151
PAPPACHI FUNERAL PARLOUR	PV00321411
PAPPARICH AH	
PAPPARICH CC	PV00342834
PAPPARICH HC	PV00327977
PAPPARICH TH	PV00326199
PAPPYRUS PROPERTY DEVELOPERS	PV18999
PAPRICO	
PAPRIKA AND CO	PV00263722
PAPRO TRADING COMPANY	PV66189
PAPS CATERERS	PV00206171
PAPS LEISURE	
PAPS LEISURE MANAGEMENT	PV114524
PAPU'S BEACH	PV00298271
PAPYRUS HOLDINGS	PV00278746
PAPYRUS PAPERS	PV5232
