name	registration_no
CLOCK SPEED	PV00238157
CLODAGH ESTATE	
CLOE CLAIRE	PV00279168
CLOGAJ GRINDING MILLS	PV00257526
CLON GREEN HOLDINGS	PV103411
CLONATS	PV00221356
CLONE ASIA	PV00220756
CLORA COSMETICS	PV00279835
CLOSENBERG	PV9570
CLOSSYAN TECHNOLOGIES	PV00272084
CLOTH & STITCH	PV00265518
CLOTH FACTORY	PV00257838
CLOTH SOURCING	PV91711
CLOTH WORKS	PV00263343
CLOTHCY INTERNATIONAL	PV115621
CLOTHE CLEAN & CARE	PV00211283
CLOTHES STORES . LK	PV00229623
CLOTHING ARCADE HOLDINGS	PV00255450
CLOTHITUDE	PV111312
CLOUD 8 TRADING	PV94425
CLOUD 9	
CLOUD 9 AUTO	
CLOUD 9 AUTOMOTIVE	PV00245405
CLOUD 9 AUTOMOTIVE WORKS	
CLOUD 9 CREATIONS	PV79817
CLOUD ACCBOOK	PV121244
CLOUD ACCOUNTING ACADEMY	PV00222904
CLOUD ARM	PV00287612
CLOUD ATLANTIC	PV120495
CLOUD ATLANTIC INTERNATIONAL GROUP	PV00256036
CLOUD AXIS	PV00202363
CLOUD B P O	PV106456
CLOUD BIOTECH	PV00250512
CLOUD BOX	PV00271508
CLOUD BRANDING	PV113672
CLOUD CARE	PV00242596
CLOUD COMFORT INTERNATIONAL	PV00250942
CLOUD CONTENT MARKETING	PV00220006
CLOUD DIGITAL COLOUR LAB	PV00263457
CLOUD ECOMMERCE ACCOUNTANTS	PV00223241
CLOUD FUSION	PV00253786
CLOUD HEALTHCARE	PV00232094
CLOUD HOLDINGS	PV94884
CLOUD INFINITY	PV00238260
CLOUD INVESTMENTS	PV79381
CLOUD IVY	PV00259276
CLOUD KITCHEN	PV00207240
CLOUD LIFE SOLUTIONS	PV00284663
CLOUD LINK SOLUTIONS	PV107686
CLOUD MEDI CONSULTANCY	PV00232078
CLOUD NET	PV00280111
CLOUD NINE PRODUCTIONS	PV105136
CLOUD NINE TRAVELS	PV00217966
CLOUD NINE WELLNESS	PV00251587
CLOUD P C	PV111470
CLOUD PARALLAX	PV00265069
CLOUD PRO LANKA	PV00209157
CLOUD RESOURCING	PV00256652
CLOUD SCIENTISTS	PV00233878
CLOUD SMITH	PV00244216
CLOUD SOLUTIONS LANKA	PV74319
CLOUD SPA AND WELLNESS CENTER	PV00267448
CLOUD STRATEGIC	PV00240585
CLOUD TREE HOLIDAYS	PV00286762
CLOUD U.F.O	PV00207728
CLOUD UNION	PV125093
CLOUD VISION BOOKKEEPING	PV00203576
CLOUD99X	PV00274046
CLOUDA.LK	PV00209740
CLOUDANTBI	
CLOUDBOIDS	PV00237083
CLOUDFORCE B P O	PV99853
CLOUDGEN TECHNOLOGY	PV00227802
CLOUDIFY IT	PV00248775
CLOUDIMPL	PV00264342
CLOUDIX GLOBAL	PV00210520
CLOUDKNOT	PV00288703
CLOUDLINE TECHNOLOGIES	PV00286458
CLOUDMARC	PV00222716
CLOUDME I O T	PV00234048
CLOUDNINE HOLDINGS	PV00259675
CLOUDPAC	PV121658
CLOUDPARK IT	PV00249760
CLOUDPERMITS	PV00228392
CLOUDS  PAPER	PV00237763
CLOUDS 9 CAFE	PV00249744
CLOUDS HAPUTALE	PV71761
CLOUDSEC	PV00256582
CLOUDSTACK	
CLOUDSTREET RESTAURANT	PV00261327
CLOUDTOWER MANAGEMENT SERICES	PV108543
CLOUDTRIP.CO	PV00261865
CLOUDX SOLUTIONS	PV00278427
CLOUDXEL	PV120133
CLOUDY FASHION IMPEX	PV00238054
CLOUDZ HOSPITALITY MANAGEMENT	PV118039
CLOUDZ INTERNATIONAL INVESTMENTS	PV00202610
CLOUDZER	PV79109
CLOUDZONE TECH	PV00232318
CLOUEFIELD	PV98683
CLOUGEOXGABAANA	PV111862
CLOUNOTE	PV00221600
CLOVE INDIAN CUSINE	PV85616
CLOVE INNOVATIONS	PV00233831
CLOVE ISLAND	PV73822
CLOVE LEISURE MANAGEMENT	PV00210329
CLOVE REEF SEA FOOD RESTAURANT	PV00238936
CLOVE SOLUTIONS	PV00233610
CLOVE TEL	PV121768
CLOVE TRANS HOTELS	PV00205467
CLOVE TRAVEL	PV00254809
CLOVE VILLA	PV82037
CLOVER CARE	PV00264375
CLOVER COMMERCIAL PROPERTIES	PV2324
CLOVER CONCEPTS	PV96174
CLOVER GRANGE HOTEL	PV1148
CLOVER INTERIORS	PV00265587
CLOVER INTERNATIONAL	PV107345
CLOVER LEAF	PV00283286
CLOVER TEAS AND SPICES LANKA	PV00211771
CLOVERLEAF CREATIVE STUDIOS	PV79840
CLOVERS LANKA	PV115846
CLOWNFISH TRAVEL	PV00215287
