name	registration_no
WESTERN DIGITAL COMPUTER SYSTEMS	PV00219272
WESTERN DISTRIBUTORS	
WESTERN DYNAMIC SHIPPING	PV00278914
WESTERN EDUCARE	PV00206457
WESTERN EDUCATION SERVICES	PV00296588
WESTERN ENERGY	PV00323231
WESTERN EXPRESS	PV00232459
WESTERN FABRICS	PV10270
WESTERN FAMILY SUPER	PV00202216
WESTERN FARMERS	PV00314797
WESTERN FASHIONS	PV10355
WESTERN FIRE	PV00236982
WESTERN FLORISTS	PV5638
WESTERN FOOD PRODUCTS	PV129744
WESTERN FOREXAE	PV128461
WESTERN FUNERAL DIRECTORS	PV6199
WESTERN GALAXY COLOMBO	PB5309
WESTERN GARNET INDUSTRIES	PV12099
WESTERN GARNET LANKA	PV17366
WESTERN GATE PROPERTIES	PV00228064
WESTERN GEMS INTERNATIONAL	PV00343274
WESTERN GLASS & FITTINGS	PV00271087
WESTERN GLASS INDUSTRIES	PV103450
WESTERN GLOBAL MARKETING	PV00310280
WESTERN HARDWARE	PV72632
WESTERN HEALTH CARE	PV84897
WESTERN HEIGHTS TRADING	PV111275
WESTERN HOLDINGS	PV61536
WESTERN HOUSE REFFIGERATION	PV10197
WESTERN IDEAL CONSTRUCTIONS	PV00259012
WESTERN IMPORT	PV00342852
WESTERN INFIRMARY	PV13574
WESTERN INFORMATION TECHNOLOGIES	PV00228863
WESTERN INSTITUTE OF TECHNOLOGY	PV00293677
WESTERN INTERNATIONAL COLLEGE	PV00272433
WESTERN INTERNATIONAL TRADE LINK	PV122989
WESTERN JEWEL PALACE	
WESTERN JEWELLERS AND GEM	PV118294
WESTERN JEWELLERY MART	PV00239972
WESTERN LAND''S HOLDING	PV123874
WESTERN LAND'S HOLDING	PV123874
WESTERN LANKA ACADEMY	PV117877
WESTERN LANKA AQUATIC	PV15922
WESTERN LANKA COMMODITIES	PV00307716
WESTERN LANKA DEVELOPMENTS	PV122629
WESTERN LANKA FISHERIES	PV86107
WESTERN LANKA FOODS	PV00324369
WESTERN LANKA INDUSTRIES	PV92455
WESTERN LANKA INTERNATIONAL	PV10363
WESTERN LANKA MARKETING	PV112947
WESTERN LANKA PLANTATION	PV98156
WESTERN LANKA TECHNOLOGIES	PV00235714
WESTERN LANKA TRADING	PV98157
WESTERN LEGAND SHIPPING COMPANY	PV78713
WESTERN LUCKY	PV00325724
WESTERN MAGIC FLAM	PV98181
WESTERN MARITIME SHIPPING	PV00204146
WESTERN MARKETING	PV00264300
WESTERN MART MANAGEMENT	PV00276306
WESTERN MEDICAL	PV00315278
WESTERN MEDICARE	
WESTERN MOBILE JAFFNA	PV00322552
WESTERN MOBILES	PV123454
WESTERN MONEY EXCHANGE	PV102495
WESTERN MOTOR TRADERS	PV21591
WESTERN MUSICIANS' ASSOCIATION	GA3164
WESTERN MUSICIANS'' ASSOCIATION	GA3164
WESTERN ONE REAL ESTATE	PV00253847
WESTERN PAINTS	PV00314087
WESTERN PAPER INDUSTRIES	PV11449
WESTERN PHARMACEUTICALS	PV74550
WESTERN PHARMACY	PV21218
WESTERN PHARMACY HOLDINGS	PV00206965
WESTERN POLY PACKS	PV00232206
WESTERN POWER COMPANY	PV67026
WESTERN PRODUCTS	PV00253486
WESTERN PROPERTIES	PV00269407
WESTERN PROVINCE CHAMBER OF COMMERCE & INDUSTRIES	GA2224
WESTERN PROVINCE SCIENCE PUBLICATIONS	PV00343780
WESTERN PROVINCE TRANSPORT	PV118702
WESTERN RESOURCES	PB00258661
WESTERN RESTAURANT	PV84044
WESTERN SERENDIB	PV102027
WESTERN SERENITY	PV00296258
WESTERN SERVICES LANKA	PV00205441
WESTERN SHIPPING AGENT	PV109893
WESTERN SPORTS MANAGEMENT	PV82896
WESTERN STYLE	PV108804
WESTERN TOURS AND TRAVELS	PV00304886
WESTERN TRADE MARKETING	PV00277675
WESTERN TRAVELS	PV00311625
WESTERN TREND ZONE	PV00327164
WESTERN UNIC	PV00294071
WESTERN UNION DEVELOPERS	PV12866
WESTERN UNION SERVICES SINGAPORE PTE..	FC1016
WESTERN WASTE TO ENERGY	PV77980
WESTERN WHEELS LANKA	PV125164
WESTERN YORK	PV11081
WESTERNSKY INTERNATIONAL	PV00246365
WESTEROS CAPITAL	PV105060
WESTEROS HOSPITALITY	PV00215607
WESTFALIA INDUSTRIES	PV00202157
WESTFEED GRAINS	PV120040
WESTFIELD	PV80100
WESTFIELD AVENUE	PV116206
WESTFIELD CAMPUS	PV00318576
WESTFIELD HOLDINGS	PV111388
WESTFIELD SQUARE	PV00203954
WESTGATE COLLEGE	PV127626
WESTGATE COLLEGE OF HEALTH SCIENCES	PV00235538
WESTGATE HOLDINGS	PV102402
WESTGATE INTERNATIONAL	PV677
WESTGATE OVERSEAS	PV00251535
WESTGATE PROPERTY DEVELOPMENTS	
WESTGATE VISA CENTRE	PV00237316
WESTGATE WIND POWER SOLUTIONS	PV00244540
WESTHAM  MERCHANT	PV00309117
WESTHILL SOLUTIONS LANKA	PV100126
WESTIN RESIDENCIES	
WESTIN VILLA	PV00301397
WESTISH	PV00274618
WESTMANN AUTOMATION SERVICES	PV96777
WESTMANN ENGINEERING COMPANY	PV5560
WESTMARK INTERNATIONAL	PV00233594
WESTMILL FOODS	PV00259233
WESTMINISTER GREEN FARM	PV74769
WESTMINISTER HIGHER EDUCATION CONSULTANTS	PV00269157
WESTMINISTER PHARMACEUTICALS LANKA	PV129173
WESTMINSTER COLLEGE	PV119044
WESTO MEDIA LANKA	PV00276510
WESTOCK SL	PV00328951
WESTONE HOLDINGS	PV00225177
WESTPAC ENERGY	PV115865
WESTPAC HOLDING	PV115866
WESTPAC LANKA	PV11924
WESTPAY TECHNOLOGIES	PV00254215
WESTPEAK ENTERPRISE	PV00215264
WESTPOINT	PV00317693
WESTPOINT INTERNATIONAL TRADING	PV67061
WESTPORT INTERNATIONAL	PV00262207
WESTPORT MARINE	PV00328966
WESTRANS INTERNATIONAL	PV00282012
WESTRIDGE	PV00229605
WESTROCK FIELD	PV111499
WESTROO DIGITAL	PV00312248
WESTSKY	PV00343473
WESTTEL ENGINEERING	PV64678
WESTTRONIX HOLDINGS	PV105144
WESTVIEW ACADEMY	PV00309199
WESTVIRTUE & CO	PV00206877
WESTWARD CONSULTING	PV118679
WESTWARD GALLERY	PV00210360
WESTWARD GARDEN	PV00210362
WESTWAVE TECHNOLOGIES	PV00276883
WESTWAY BUSINESS MANAGEMENT	PV00208529
WESTWIN EDUCATION CONSULTANCY	PV115591
WESTWIN TRADING	PV00305947
WESTWIND ENTERPRISES	PV3312
WESTWIND WATERS	PV93562
WESTWING VILLUWA	PV00245748
WESTWOOD CORPORATION	PV00274327
WESTWOOD EXPORT CORPORATION	PV99050
WESTWOOD HOLDINGS LANKA	PV113061
WESTWOOD INTERNATIONAL	PV00272817
WESTWOOD LANKA	PV00332749
WESTWORLD INTERNATIONAL	PV19444
WESTWORTH CO	PV00303461
WESTZIDE CLOTHING	PV00305324
WESTZONE TRADE	PV00335585
WESURA GEMS	PV00330029
WESWIN LANKA	PV11923
WESWIN POWER	PV16403
WESWIN POWER GALAHA	PV19156
WESWIN SOLAR	PV115425
