name	registration_no
JESAN MARKETING	
JESARA	PV00212492
JESCO CO.,LTD.	
JESCO ENTERPRISES	PV18998
JESCO TRADING COMPANY	PV86102
JESEEM TRADERS	PV86562
JESEEM TRAVELS	PV68322
JESEEM TRAVELS AND TOURS	PV00308105
JESEN BERGER	PV72126
JESHANI TRADELINE	PV00341040
JESHO DELICIOUS	PV00357408
JESHUARA	PV00357110
JESHURUN ENTERPRISES	PV129774
JESIK ENGINEERING	PV00254297
JESINCO STEEL FURNITURE	PV14544
JESIS HOLDINGS	PV00229152
JESKA	PV00361037
JESMA & JO ENGINEERING	PV00365437
JESMAJO VALUE CREATORS	PV00219402
JESMI TRADING	PV00335845
JESMIN  TOURS & TRAVELS	PV00353799
JESMIN IMPEX	PV00280557
JESMIN VENTURES	PV00313853
JESMINE HOME STAY	PV00204241
JESMINE SAPPHIRES	PV00295278
JESMIR TRAVELS & TOURS	
JESMY LANKA	PV00239080
JESNA ENTERPRISES	PV00265475
JESNI MARKETING	PV106852
JESO RADIANCE CLINIC & BEAUTY CARE	PV00358471
JESON PRODUCTS LANKA	PV90719
JESP INTERNATIONAL	PV114222
JESPER TREASURES INTERNATIONAL	PV00237031
JESRO GARMENT	PV00256201
JESS CLOTHING	PV00310065
JESS HOLDINGS	PV00229754
JESSE CLUB	PV00369941
JESSE WINSTON PROPERTIES	PV00334570
JESSELTON	PV77608
JESSICA FOODS & SPICES	PV00229110
JESSIQUE TRAVELS	PV110755
JESSMIN SEVENWIN	PV00245139
JEST CREATIONS	PV112883
JEST INTERNATIONAL	PV63534
JESTAR INTERNATION	PV00219364
JESTEE COSTUMES	PV131745
JESUDASON HOLDINGS	PV10647
JESUIT INSTITUTE OF HIGHER STUDIES	GL00352121
JESURAN HEALING CENTRE	GA00303940
JESUS DELIVERS INTERNATIONAL MISSION	GA00350612
JESUS FAMILY MISSION	GL00363869
JESUS FAMILY MISSION LANKA	GA3216
JESUS LIVES ASSOCIATION	GA3010
JESUS MATERIAL SUPPLIER & CONSTRUCTION	PV00298262
JESUS NEVER FAILS GOOD NEWS CENTRE	GA2158
JESUS REDEEMS MINISTRIES	GA2043
JESUS SAVES CHURCH	GA215
JESUS SAVIOUR EVENGELICAL MINISTRIES	GA343
JESUS SOLVES ALL PROBLEMS SOLVING SERVICE	GA704
JESUS WITH US PRAYER MINISTRIES	GA583
