name	registration_no
HOLA 350	PV00264143
HOLA GEMS	PV00264840
HOLA LANKA TRAVEL & TOURISM	PV00204737
HOLBONS HOLDINGS	PV112088
HOLBORN INVESTMENT	PV95705
HOLBROOK AGRO CHEM	PV8375
HOLBROOK EDUCATIONAL CENTRE	PV00277243
HOLBROOK IMPORTS	PV90060
HOLBROOK POWER	PV94225
HOLBROOKE &MOKENZIE	PV64843
HOLCEM	PV5010
HOLCO	PV14404
HOLEXCO ENGINEERING	PV00237616
HOLHU ASHI	PV78175
HOLI CORP	PV78972
HOLIDAY BAY TRAVELS	PV00276627
HOLIDAY CAB	PV120487
HOLIDAY CEYLON TOUR OPERATORS	PV72592
HOLIDAY CREATIONS	PV91953
HOLIDAY DESTINATION	PV71449
HOLIDAY ENTERTAINMENT	PV5570
HOLIDAY HOMES INTERNATIONAL	PV00244415
HOLIDAY HUB	PV10844
HOLIDAY IN STYLE LANKA	PV62944
HOLIDAY ISLAND RESORT	PV66289
HOLIDAY LANKA TOURS	PV00253129
HOLIDAY LEISURE TRAVELS & TOURS	PV90440
HOLIDAY NEPAL	PV120281
HOLIDAY PARK	PV79633
HOLIDAY PATH	PV97613
HOLIDAY RESORTS TRAVELS	PV4318
HOLIDAY SMILES	PV81403
HOLIDAY TRAVEL CENTER	PV00211010
HOLIDAY VILLA KKY	PV00284536
HOLIDAY WITH LANKAN TRAVELLER	PV103236
HOLIDAY WORLD	PV112608
HOLIDAYS BY DESIGN	PV78984
HOLIDAYS IN LUXURY	PV60490
HOLIDAYSRI.COM	PV00291572
HOLIDAYZ	PV00279465
HOLISTA LANKA	PV00283911
HOLISTIC	PV00258650
HOLISTIC CEYLON	PV00254100
HOLISTIC ELEVATORS CONTRACTING	PV00285766
HOLISTIC HARMONY	PV00290175
HOLISTIC HOLDINGS	PV00266374
HOLISTIC MENTORS SPORTS & EDUCATIONAL ACADEMY	PV00263460
HOLISTIC RESORTS AND VILLAS	PV00265182
HOLISTIC SOLUTIONS	PV115441
HOLISTIC SPECIAL EDUCATION FOUNDATION	GA3301
HOLISTIC THERAPEUTIC COREWORK	PV00265909
HOLISTIC TRADING	PV00262275
HOLISTIC WELLNESS SOLUTIONS	PV00229451
HOLISTIQUE BUSINESS SERVICES	PV00223377
HOLLAND LANKA AQUACULTURE	PV00231669
HOLLAND LANKA INTERNATIONAL	PV122528
HOLLLMANG	
HOLLY COTTAGE	PV130647
HOLLY DESIGN	PV99307
HOLLY HOCK	PV69818
HOLLYCA SYSTEMS	
HOLLYCOSEEL FOOD	
HOLLYJEAN	PV00279275
HOLLYWOOD CONSULTANCY	PV00243542
HOLLYWOOD FASHION	PV5569
HOLMES PLACEMENT	PV61831
HOLMES POLLARD AND STOTT	PV2343
HOLOGUARD	PV00233489
HOLOSOFT	PV00245348
HOLSCAPES	PV100730
HOLTECH COMPUTER SYSTEMS	PV66901
HOLTON HOSPITAL	PV90965
HOLY FOODS	PV00232053
HOLY HYDRO	PV74051
HOLY TRINITY FOUNDATION	GA3221
HOLZ CEYLON	PV00270895
