name	registration_no
VIV BIOPHARMA	PV00213528
VIV PHARMA	PV115991
VIVA CORPORATION	PV63712
VIVA GREEN AGRO	PV00247610
VIVA LA GLAM	PV107645
VIVA LA VIDA HOUSE	PV00202704
VIVA SERENDIB REALTORS	PV2601
VIVACE	PV21524
VIVAHAS	PV83663
VIVANTA ASSOCIATES	PV96516
VIVANTA HOLDINGS	PV00246261
VIVARA LABS	PV00271009
VIVASA ENGINEERING	PV00286049
VIVATO HOLDINGS	PV126365
VIVCORP LANKA	PV103430
VIVEGHAA INTERNATIONAL	PV00259355
VIVEK ASSOCIATES	PV18765
VIVEK LANKA HOLDING	PV00268614
VIVEKON FERTILIZER	PV00237726
VIVEKON LANKA	PV111321
VIVERRA WELLNESS SPA	PV00204750
VIVESCO HEALTH CARE	PV00210127
VIVESTA AGRO	PV00230668
VIVESTA CONSTRUCITONS	PV105507
VIVIAN	PV00262259
VIVICA HOTELS AND CABANAS	
VIVID ADS	PV124249
VIVID AGRI EXPORTS	PV103367
VIVID ASIA	PV00291800
VIVID ATTIRE	PV00206976
VIVID AURO AGRICULTURAL EXPORTS	PV00256820
VIVID COLOUR SOLUTION	PV00290867
VIVID CONSULTANCY AND ENGINEERING	PV00269045
VIVID DESIGN SOLUTIONS	PV00225627
VIVID EDUCATIONAL SERVICES	PV118588
VIVID ENERGY SOLUTIONS	PV00245642
VIVID ENGINEERING	PV00230896
VIVID FASHIONS	PV00218877
VIVID GEMS	
VIVID GUARD	PV79606
VIVID HANDS	PV00230423
VIVID HOLDINGS LANKA	PV00254411
VIVID LAK GREEN AGRO	
VIVID LANDMARK	PV00230574
VIVID MARKETING	PV88802
VIVID MOTIONS	PV00290170
VIVID NATURE	PV00238409
VIVID PRINTING SOLUTIONS	
VIVID SMART HOMES	PV126637
VIVID TECH	PV00211337
VIVID.CO	PV00289906
VIVIDHA HOLDINGS	PV14869
VIVIDSKY	PV00246727
VIVIDTECH SOLUTIONS	PV00297224
VIVIESHA BATH GALAXY & NILAN TRADING COMPANY	PV00281037
VIVIKTHAA LANKA	PV104186
VIVIN IMPORTS AND EXPORTS	PV00282087
VIVIT SOLUTIONS	PV112672
VIVITA HOLDINGS	PV00260803
VIVITECH GLOBAL	PV00286468
VIVITHTHA TRADERS	PV120360
VIVIVIO 	PV116985
VIVO ADVANTAGE	PV113159
VIVO ASIA ENGINEERING & TRADING	PV00283244
VIVO ENGINEERING	PV00263207
VIVONTA GREEN TECH CONSULTANTS	PV00268369
