name	registration_no
LIBA CAMPUS	PV00264291
LIBA GLOBAL	PV00234287
LIBA TRADING CO	PV110398
LIBAS	PV83105
LIBAZ CEYLON	PV129400
LIBAZI	PV00257809
LIBER PALLE	PV115769
LIBERA FASHION	PV119834
LIBERA INDUSTRIES	PV00225228
LIBERA LEATHER	PV00234186
LIBERABIT ATHENA	PV00206131
LIBERADO	PV115804
LIBERAL ACADEMY FOR POLITICAL LEADERSHIP	GA2542
LIBERAL FELLOWSHIP	GA00277322
LIBERAL YOUTH MOVEMENT	GA00277433
LIBERTAS CONSULTING	PV00254543
LIBERTE INVESTMENTS	PV5056
LIBERTY ASIA EXPRESS	PV00237357
LIBERTY BABY CARE	PV00295926
LIBERTY CHEMICALS	PV1098
LIBERTY CINEMAS	PB1528
LIBERTY DEVELOPERS	PV89977
LIBERTY ENERGY	PV89588
LIBERTY ENVIRONMENTAL ENGINEERS	PV18538
LIBERTY FITNESS CENTER	PV00213926
LIBERTY GROUP	PV2189
LIBERTY HOLDINGS	PV17741PB
LIBERTY HOMES AND SOLAR POWER SYSTEMS	PV00210743
LIBERTY HOUSE	PV00203684
LIBERTY HUT	PV00283512
LIBERTY IMPORTS & EXPORTS	PV72899
LIBERTY INTERNATIONAL ACADEMY 	PV62759
LIBERTY INTERNATIONAL STUDY	PV00228744
LIBERTY INTERNATIONAL TRAINING INSTITUTE	GA2545
LIBERTY LANDS AND DEVELOPMENTS	PV8210
LIBERTY LANE LANKA	PV7824
LIBERTY LOUNGE	PV00226814
LIBERTY MARKETING  [N(PVS) 15142]	PV8211
LIBERTY MOTOR ASSOCIATES	PV9749
LIBERTY MOTOR STORES  [N(PVS) 24589]	PV9046
LIBERTY PHONE ARCHED COMPANY	PV117221
LIBERTY POINT	PV126299
LIBERTY POLYTEC	PV113504
LIBERTY POLYTHENE	PV61096
LIBERTY PROPERTY INVESTMENTS	PV95673
LIBERTY PUBLISHERS	PV12983
LIBERTY REIT	PV00237971
LIBERTY SHIPPING SERVICES	PV00223737
LIBERTY SKILLS MANAGEMENT SERVICES	PV96983
LIBERTY TEXTILES EXPORTS	PV2128
LIBERTY TRADERS	PV17802
LIBERTY TRAVEL & TOURS	PV00252310
LIBERTY VENTURE PARTNERS 	PV123439
LIBERTY VORTEX POWER	PV96614
LIBRA CLOTHING	PV00294457
LIBRA PLANTATION	PV85892
LIBRA WEIGHING MACHINES & ELECTRICAL	PV00299379
LIBRA WORKFORCE	
LIBRAS CONSULTING	PV00223755
LIBRAS RELIANCE AUTOMOBILE	
LIBRATRANS INTERNATIONAL COLOMBO	PV61748
LIBRO INTERNATIONAL	PV3324
