name	registration_no
PUB BLUE	
PUBLIC BANK BERHARD	NF98
PUBLIC INTREST LAW FOUNDATION	GA86
PUBLIC RELATIONS ASSOCIATION OF SRI LANKA	GA00278830
PUBLIC RELIEF CARING COMPANY	PB00205090
PUBLIC WORKS	PV00214211
PUBLICIZE	PV00216798
PUBLIS AND SONS	PV12924
PUBLIS LEGENDS	PV00205591
PUBODA ENTERPRISE	
PUBS & RESTAURANTS COLOMBO	PV00267342
PUBS 'N PLACES	PV61888
PUBUDU AGRICULTURAL	PV00230645
PUBUDU AUTO ENTERPRISES	PV17453
PUBUDU CONSTRUCTION & CONSULTANTS	PV103275
PUBUDU ENGINEERING PROJECTS	PV11008
PUBUDU EXPORTS & IMPORTS	PV00263872
PUBUDU HOLDINGS & TIMBER	PV00255762
PUBUDU HOLDINGS	PV116164
PUBUDU HOMES & CONSTRUCTION	PV00204815
PUBUDU IMPORTERS	PV15666
PUBUDU INTERNATIONAL	PV84372
PUBUDU LANKA	PV77969
PUBUDU MAN POWER	
PUBUDU PHARMACY	PV65137
