name	registration_no
DAH FUNG ENTERPRISE	PV69618
DAH TOCHIGI LANKA INTERNATIONAL	PV00230659
DAHAM ENGINEERING SERVICES	PV00224228
DAHAM HOME BUILDERS	PV00218718
DAHAM LANKA	PV78935
DAHAM TRADE CENTER	PV00270298
DAHAMCO ENTERPRISES	PV63205
DAHAMDI MANUFACTURING	PV00263525
DAHAMLI BUILDERS	PV109898
DAHAMSA INTERNATIONAL	PV00228156
DAHANAYAKA INVESTMENTS	PV00283936
DAHANAYAKA OIL MILLS	PV00276365
DAHANAYAKE MOTORS	PV1012
DAHARA MOTORS	PV00235101
DAHAS LANKA	PV83398
DAHASTHARU	PV00200148
DAHEMI INTERNATIONAL	PV83727
DAHIRAH STAR TRADING	PV129245
DAHNAY LOGISTICS LANKA	PV00214727
DAHOO INTERNATIONAL	PV99090
DAHU LANKA AGRO	PB4825
DAHUA TECHNOLOGY CHINA	PV00202654
