name	registration_no
ABD INTERNATIONAL	PV00267395
ABDA AVIATION LANKA 	PV110501
ABDA INTERNATIONAL	PV00290747
ABDEEN CITY HOTEL	PV99745
ABDEEN JEWELLERS	PV12841
ABDEEN TRADING	PV00238207
ABDHULLA ENTERPRISES	PV00221815
ABDOH OVERSEAS MANPOWER	PV68851
ABDUL AHAD INTERNATIONAL TRADING	PV121881
ABDUL AZEEZ BROTHERS	PV118499
ABDUL AZIZ & SON'S	PV00231472
ABDUL CADER CONSTRUCTION	PV00243291
ABDUL GHAFFOOR PROPERTY MANAGEMENT	PV00214724
ABDUL HANNAN HOLDINGS	PV00270730
ABDUL JABBAR & SONS	PV113461
ABDUL JABBAR & SONS	PV761
ABDUL MAJEED MOHAMED SAHABDEEN FOUNDATION OF CEYLON	GA38
ABDUL RAHEEM & SONS	PV00290375
ABDUL RAZAK	PV00218405
ABDUL SALAM GEMS	PV00274402
ABDUL WAHID UMMU NAIMA FOUNDATION	GL00238501
ABDULHUSEIN JAFFERJEE & SONS	PV3683
ABDULLA EXPORTS	PV9112
ABDULLA INDUSTRIES AND PACKAGING	PV9110
ABDULLA INTERNATIONAL	PV13623
ABDULLA MOHOMED & SONS	PV00203202
ABDULLA VENTURES	PV11192
ABDULLAH FARM	PV00266285
ABDULLAH TRAVELS	PV00259680
