name	registration_no
OSH CEYLON TEA	PV00271103
OSH HOLDINGS	PV99474
OSHA HOLDINGS	PV106407
OSHADA AUTOMOTIVES	PV124713
OSHADA AYURVEDA	PV00330944
OSHADA INVESTMENT	PB5363
OSHADEE HEALTH & BEAUTY	PV00204899
OSHADHA ENTERPRISES	PV68725
OSHADHI AYURVEDIC HERBS & DISPENSARY	PV00243667
OSHADHI ENTERPRISES	PV00331317
OSHADI 24 HOURS MEDICAL LABORATORY	PV75764
OSHADI AYURVEDIC SPA	PV00209305
OSHADI FOOT CARE & WELLNESS SPA	PV00265674
OSHADI MEDICAL CARE	PV10384
OSHAIKA	PV00337316
OSHAN AUTO PARTS	PV00331307
OSHAN AYURVEDA	PV00235086
OSHAN CONSTRUCTION	PV00213322
OSHAN ENTERPRISES	PV00272807
OSHAN LANKA INVESTMENT	PV128824
OSHAN LIYANAGE DANCE STUDIO	PV00338158
OSHAN MADUKA INTERNATIONAL	PV97785
OSHAN SEA FOODS	PV00211945
OSHAN T N SERVICES	PV00237107
OSHAN WINDSCREEN HOUSE	PV5430
OSHANDI TRUST AND PROPERTY	PV00333565
OSHANI	PV13841
OSHANI AUTO TRADERS	PV9911
OSHANI PET SHOP & AQUARIUM	PV00359595
OSHANI TEXTILE INDUSTRIES	PV13070
OSHARA APPARELS	PV76186
OSHARA D S D	PV130440
OSHARA FASHIONS	PV00270002
OSHARA PHARMACY	PV00287372
OSHARA SHOPPING COMPLEX	PV00296767
OSHARE LANKA	PV00251512
OSHASHI INTERNATIONAL	PV00234729
OSHAWA LANKA	PV00268697
OSHEE FOODS	PV118803
OSHEEMAR ENGINEERING	PV87329
OSHEIN TRADING COMPANY	PV00324537
OSHEL RITHIKSHANA ENTERPRISES	PV00334608
OSHELLA HOMEMADE GOODNESS	PV00222925
OSHEN AQUATIC	PV82780
OSHEN AUTO SERVICE	
OSHEN LANKA EDUCATION & TOURISM	
OSHENKO ENGINEERING	PV118580
OSHERAA	PV00322315
OSHERAA INTERNATIONAL	PV00269371
OSHI AUTO	PV00355404
OSHI FOOT CARE & SALON	PV00321929
OSHI GEM & JEWELLERY	PV00354367
OSHII TRAVEL DESTINATIONS	PV00322275
OSHIN	PV84404
OSHIN AND ATSUKO INTERNATIONAL	PV00261104
OSHIN LANKA	PV00267043
OSHIN LANKA FOUNDAION	GL2392
OSHIN PAWNING	PV00221843
OSHIN PRODUCTS INTERNATIONAL	PV00229536
OSHINE GOLD PAWNING CENTER	PV00282650
OSHIRO TECHNOLOGIES	PV00354184
OSHITHA HOLDINGS	PV99305
OSHKI FARM AND HOLIDAY RESORT	PV00286328
OSHMIRA SOLUTIONS	PV00291813
OSHNI HOLDINGS	PV11156
OSHO CAMPUS & MANAGEMENT	PV00241252
OSHUN AESTHETICS	PV00358520
OSHWA FOODS	PV00291599
