name	registration_no
ZERANDIB BUSINESS SOLUTIONS	PV80607
ZERANDIB HOME	PV00225016
ZERENDIB GRAND BANQUET	PV00251912
ZERENDIB LANKA EXPORTS	PV00204713
ZERENDIB LANKA GEM	PV00204730
ZERENDIB MOTOR ENTERPRISES	PV7080
ZERENDIB PLANTATIONS LANKA	PV00244159
ZERO 5	PV00216984
ZERO C	PV11313
ZERO CONSEQUENCES	PV19296
ZERO DERMALABS	PV00275470
ZERO GALLE	PV00207388
ZERO GRAVITY	PV00213574
ZERO LANKA AUTO SERVICE	PV131999
ZERO ONE ART	PV00253160
ZERO ONE CREATIONS	PV20652
ZERO ONE TECHNOLOGIES	PV00237013
ZERO PERCENT	PV00239417
ZERO PERCENT RISK ENTERTAINMENT	PV00255619
ZERO PLUS FITNESS	PV00233104
ZERO PLUS HOLDINGS	PV00241755
ZERO PLUS LANKA	PV113409
ZERO THREE ZERO FOUR DESIGN	PV71000
ZERO WASH	PV108985
ZERO X ONE	PV122395
ZERO XCUSES	PV00225347
ZEROBETA	PV00210657
ZEROCODE SOFTWARE	PV00279984
ZEROONE GLOBAL	PV72640
ZEROPIA INTERNATIONAL	PV13737
ZEROPLASTIC	PV00281202
ZEROPOINT	PV90234
ZEROTH DIGITAL MARKETING	PV00244382
